word,num_1421,freq_1421
慧學,2,1.2541799554203703e-05
二邊,2,1.2541799554203703e-05
空三昧,1,6.270899777101851e-06
行香,1,6.270899777101851e-06
五百世,1,6.270899777101851e-06
二道,4,2.5083599108407405e-05
鹿,16,0.00010033439643362962
犍,14,8.779259687942592e-05
滅道,10,6.270899777101851e-05
祇夜,1,6.270899777101851e-06
依止師,4,2.5083599108407405e-05
活,22,0.00013795979509624074
優樓,1,6.270899777101851e-06
內衣,3,1.8812699331305554e-05
我室,1,6.270899777101851e-06
供具,1,6.270899777101851e-06
阿摩,3,1.8812699331305554e-05
起行,1,6.270899777101851e-06
天上,12,7.525079732522222e-05
天人,4,2.5083599108407405e-05
熱惱,1,6.270899777101851e-06
思惟,13,8.152169710232407e-05
惡說,8,5.016719821681481e-05
機,5,3.135449888550926e-05
業有,1,6.270899777101851e-06
五穀,2,1.2541799554203703e-05
惡語,30,0.00018812699331305555
鞞陀,3,1.8812699331305554e-05
一心合掌,1,6.270899777101851e-06
無記,2,1.2541799554203703e-05
十法,6,3.762539866261111e-05
八聖,3,1.8812699331305554e-05
因,251,0.0015739958440525647
阿耨達,5,3.135449888550926e-05
無諍,7,4.389629843971296e-05
誓言,2,1.2541799554203703e-05
幻人,1,6.270899777101851e-06
伽耶,2,1.2541799554203703e-05
道者,32,0.00020066879286725924
惡觸,5,3.135449888550926e-05
五礙,1,6.270899777101851e-06
摩訶迦旃延,2,1.2541799554203703e-05
惡覺,1,6.270899777101851e-06
惡見,2,1.2541799554203703e-05
無著,8,5.016719821681481e-05
有一人,10,6.270899777101851e-05
頂禮,24,0.00015050159465044443
小行,1,6.270899777101851e-06
身戒,1,6.270899777101851e-06
道行,39,0.0002445650913069722
五眾,15,9.406349665652778e-05
行道,43,0.00026964869041537964
漸斷,1,6.270899777101851e-06
十想,1,6.270899777101851e-06
頭破七分,3,1.8812699331305554e-05
漸教,1,6.270899777101851e-06
跋陀迦毘羅,1,6.270899777101851e-06
頭面作禮,1,6.270899777101851e-06
多羅,44,0.0002759195901924815
我所見,2,1.2541799554203703e-05
懈怠,1,6.270899777101851e-06
世界,7,4.389629843971296e-05
起者,6,3.762539866261111e-05
空無,8,5.016719821681481e-05
祇園,1,6.270899777101851e-06
大事,2,1.2541799554203703e-05
悲心,1,6.270899777101851e-06
不與取,13,8.152169710232407e-05
大羅漢,1,6.270899777101851e-06
羯磨僧,1,6.270899777101851e-06
象鼻,4,2.5083599108407405e-05
通力,2,1.2541799554203703e-05
僧殘,1,6.270899777101851e-06
難行,1,6.270899777101851e-06
僧次,3,1.8812699331305554e-05
什物,2,1.2541799554203703e-05
結跏,8,5.016719821681481e-05
至教,1,6.270899777101851e-06
明相,25,0.00015677249442754628
無上法,1,6.270899777101851e-06
別請,26,0.00016304339420464815
吒,18,0.00011287619598783332
壽命,1,6.270899777101851e-06
聲聞,8,5.016719821681481e-05
急施衣,8,5.016719821681481e-05
阿梨,13,8.152169710232407e-05
八解,1,6.270899777101851e-06
娑羅,7,4.389629843971296e-05
誑,10,6.270899777101851e-05
尊者,5,3.135449888550926e-05
增戒學,2,1.2541799554203703e-05
懺悔,7,4.389629843971296e-05
八難,10,6.270899777101851e-05
娑羅林,5,3.135449888550926e-05
大利,5,3.135449888550926e-05
拔提,1,6.270899777101851e-06
單,14,8.779259687942592e-05
五百年,1,6.270899777101851e-06
小遠,1,6.270899777101851e-06
天子,4,2.5083599108407405e-05
施物,5,3.135449888550926e-05
一切智,1,6.270899777101851e-06
僧眾,6,3.762539866261111e-05
愛行,1,6.270899777101851e-06
惡龍,3,1.8812699331305554e-05
檀越,24,0.00015050159465044443
瞋恚心,1,6.270899777101851e-06
死苦,4,2.5083599108407405e-05
五法,39,0.0002445650913069722
天壽,1,6.270899777101851e-06
愛護,4,2.5083599108407405e-05
天女,6,3.762539866261111e-05
天帝,1,6.270899777101851e-06
行足,2,1.2541799554203703e-05
僧物,24,0.00015050159465044443
八波羅夷,1,6.270899777101851e-06
甘露飯,2,1.2541799554203703e-05
火光三昧,3,1.8812699331305554e-05
結集,1,6.270899777101851e-06
惡魔,1,6.270899777101851e-06
無餘,12,7.525079732522222e-05
品,3,1.8812699331305554e-05
大地,11,6.897989754812037e-05
五欲,26,0.00016304339420464815
覺,102,0.0006396317772643889
具戒,32,0.00020066879286725924
已還,9,5.643809799391666e-05
三上座,3,1.8812699331305554e-05
布薩日,13,8.152169710232407e-05
八正道,2,1.2541799554203703e-05
樓,35,0.0002194814921985648
神明,2,1.2541799554203703e-05
自恣日,6,3.762539866261111e-05
迦,292,0.0018311027349137406
影,6,3.762539866261111e-05
怨憎會苦,1,6.270899777101851e-06
意,266,0.0016680593407090926
白和,3,1.8812699331305554e-05
摩訶波闍波提,4,2.5083599108407405e-05
僧伽梨,20,0.00012541799554203703
塵,44,0.0002759195901924815
二百五十戒,1,6.270899777101851e-06
狗法,1,6.270899777101851e-06
百日,1,6.270899777101851e-06
拘薩羅,18,0.00011287619598783332
甘露門,1,6.270899777101851e-06
阿羅,51,0.00031981588863219445
二衣,2,1.2541799554203703e-05
彈指,9,5.643809799391666e-05
二行,4,2.5083599108407405e-05
肥膩,3,1.8812699331305554e-05
惡露,2,1.2541799554203703e-05
小食,1,6.270899777101851e-06
無間,2,1.2541799554203703e-05
行者,13,8.152169710232407e-05
二語,4,2.5083599108407405e-05
無際,1,6.270899777101851e-06
長夜,19,0.00011914709576493518
假,9,5.643809799391666e-05
行苦,1,6.270899777101851e-06
不可得,7,4.389629843971296e-05
集會,5,3.135449888550926e-05
