Commentary on Four-Part Vinaya,,,Base Text (Four-part Vinaya),,
Word,Count,Freq.,Word,Count,Freq
僧事,46,0.0003918637193,持鉢,144,0.0004283810198
發露,45,0.0003833449428,阿羅,143,0.0004254061516
戒本,45,0.0003833449428,人間,141,0.0004194564152
袈裟,45,0.0003833449428,安樂,140,0.000416481547
四緣,45,0.0003833449428,共相,138,0.0004105318106
非人,45,0.0003833449428,信樂,137,0.0004075569424
蘭若,45,0.0003833449428,智慧,136,0.0004045820742
應作,44,0.0003748261663,蘭若,136,0.0004045820742
淨施,44,0.0003748261663,坐具,135,0.000401607206
大僧,43,0.0003663073898,滅擯,134,0.0003986323379
五德,43,0.0003663073898,大姊,133,0.0003956574697
對首,43,0.0003663073898,法應,133,0.0003956574697
與欲,43,0.0003663073898,惡行,131,0.0003897077333
隨相,43,0.0003663073898,毘舍,130,0.0003867328651
緣成,43,0.0003663073898,成就,130,0.0003867328651
畜生,43,0.0003663073898,尊者,128,0.0003807831287
食時,42,0.0003577886133,問訊,127,0.0003778082605
無量,41,0.0003492698368,有餘,127,0.0003778082605
長衣,41,0.0003492698368,捨墮,126,0.0003748333923
伽梨,41,0.0003492698368,白四,125,0.0003718585241
有緣,41,0.0003492698368,法僧,122,0.0003629339195
有無,41,0.0003492698368,眾生,119,0.000354009315
展轉,41,0.0003492698368,功德,119,0.000354009315
受日,41,0.0003492698368,解脫,118,0.0003510344468
道行,40,0.0003407510603,迦羅,118,0.0003510344468
僧次,40,0.0003407510603,瞋恚,115,0.0003421098422
伽藍,40,0.0003407510603,瞿曇,113,0.0003361601058
坐具,40,0.0003407510603,舍羅,111,0.0003302103694
恭敬,40,0.0003407510603,道行,110,0.0003272355012
看病,39,0.0003322322838,命難,109,0.000324260633
地獄,39,0.0003322322838,畜生,108,0.0003212857648
受法,39,0.0003322322838,無根,107,0.0003183108966
大眾,38,0.0003237135073,恭敬,107,0.0003183108966
合掌,38,0.0003237135073,三衣,107,0.0003183108966
互跪,38,0.0003237135073,隨意,106,0.0003153360285
三明,38,0.0003237135073,繩床,105,0.0003123611603
別請,37,0.0003151947308,現前,104,0.0003093862921
見聞,37,0.0003151947308,犯重,104,0.0003093862921
羅漢,37,0.0003151947308,非時,103,0.0003064114239
小便,37,0.0003151947308,羅閱,102,0.0003034365557
無知,37,0.0003151947308,界外,102,0.0003034365557
利養,37,0.0003151947308,王舍,102,0.0003034365557
解脫,36,0.0003066759543,布薩,101,0.0003004616875
道俗,36,0.0003066759543,闡陀,100,0.0002974868193
四句,36,0.0003066759543,摩羅,99,0.0002945119511
隨意,35,0.0002981571778,神力,98,0.0002915370829
戒法,35,0.0002981571778,善法,98,0.0002915370829
露地,34,0.0002896384013,人法,98,0.0002915370829
善法,34,0.0002896384013,一日,97,0.0002885622147
二三,34,0.0002896384013,妄語,97,0.0002885622147
行法,34,0.0002896384013,明相,96,0.0002855873465
十方,33,0.0002811196247,耆婆,96,0.0002855873465
持犯,33,0.0002811196247,淨施,96,0.0002855873465
滅擯,33,0.0002811196247,多羅,95,0.0002826124783
不善,33,0.0002811196247,大眾,95,0.0002826124783
二眾,33,0.0002811196247,非人,95,0.0002826124783
律儀,33,0.0002811196247,經行,95,0.0002826124783
居士,33,0.0002811196247,思惟,93,0.0002766627419
無心,32,0.0002726008482,夜摩,93,0.0002766627419
頭陀,32,0.0002726008482,知識,93,0.0002766627419
草木,32,0.0002726008482,二法,91,0.0002707130056
作者,32,0.0002726008482,夫人,90,0.0002677381374
不見,31,0.0002640820717,利益,90,0.0002677381374
知事,31,0.0002640820717,童子,89,0.0002647632692
禮拜,31,0.0002640820717,一一,86,0.0002558386646
善生,31,0.0002640820717,破僧,86,0.0002558386646
衣界,31,0.0002640820717,提舍,85,0.0002528637964
止持,31,0.0002640820717,受食,84,0.0002498889282
誦經,30,0.0002555632952,伽梨,84,0.0002498889282
十戒,30,0.0002555632952,讚歎,84,0.0002498889282
飲食,30,0.0002555632952,睒彌,83,0.00024691406
五戒,30,0.0002555632952,莊嚴,83,0.00024691406
結界,30,0.0002555632952,世間,83,0.00024691406
三千,30,0.0002555632952,道法,83,0.00024691406
眾法,30,0.0002555632952,破戒,83,0.00024691406
妄語,30,0.0002555632952,婬欲,82,0.0002439391918
即是,30,0.0002555632952,婆私,82,0.0002439391918
單白,30,0.0002555632952,所作,82,0.0002439391918
施僧,29,0.0002470445187,染污,82,0.0002439391918
菩薩,29,0.0002470445187,龍王,82,0.0002439391918
無緣,29,0.0002470445187,梵志,81,0.0002409643236
小界,29,0.0002470445187,歸依,81,0.0002409643236
不生,28,0.0002385257422,摩納,80,0.0002379894554
衣法,28,0.0002385257422,布施,80,0.0002379894554
四明,28,0.0002385257422,不還,79,0.0002350145872
維那,27,0.0002300069657,欲心,78,0.000232039719
戒相,27,0.0002300069657,四方,78,0.000232039719
一法,27,0.0002300069657,我所,77,0.0002290648509
犯戒,27,0.0002300069657,作舉,77,0.0002290648509
隨順,27,0.0002300069657,剃髮,76,0.0002260899827
名字,27,0.0002300069657,沓婆,76,0.0002260899827
法界,27,0.0002300069657,那律,76,0.0002260899827
從僧,27,0.0002300069657,利養,75,0.0002231151145
說欲,26,0.0002214881892,法語,75,0.0002231151145
大衣,26,0.0002214881892,菩薩,74,0.0002201402463
舍利,26,0.0002214881892,受持,73,0.0002171653781
三時,26,0.0002214881892,石蜜,72,0.0002141905099
四月,26,0.0002214881892,持戒,72,0.0002141905099
僧尼,25,0.0002129694127,瓔珞,72,0.0002141905099
布施,25,0.0002129694127,小食,71,0.0002112156417
持律,25,0.0002129694127,展轉,71,0.0002112156417
佛塔,25,0.0002129694127,見聞,70,0.0002082407735
三法,25,0.0002129694127,捨戒,70,0.0002082407735
歸依,25,0.0002129694127,神足,70,0.0002082407735
具戒,24,0.0002044506362,與欲,70,0.0002082407735
