闍王,1
明了,73
近住,1
十對,1
百喻經,1
觀察,5
僧祇戒本,1
大疏,4
夏末,3
壞色,16
並起,2
塵境,2
真教,1
稽首,1
大界,66
我想,1
十力,1
十劫,1
端坐,3
現通,1
身受,4
大種,1
十利,12
塵垢,1
見,607
指,107
惑,14
僧徒,8
我慢,2
天王,3
端嚴,1
尸迦羅越六方禮經,1
身入,1
通教,1
看病,39
我所,16
僧尼,25
不輕,7
深入,1
砂,6
一切智藏,1
輪燈,1
波利迦羅,3
慧思,1
阿蘭若,4
按摩,4
十六,66
夜摩,21
不覺,14
不見,31
周羅,1
深坑,2
念著,1
慢使,1
量等,3
僧寶,2
天眼,6
身器,1
思大,1
僧家,9
說戒,164
大集經,2
別時意,1
取果,1
十地,1
親緣,1
萬行,2
通戒,1
晨朝,1
祇支,13
體用,1
十名,1
慧日,1
蓮華,5
如說,12
十善,7
大綱,3
不請,12
身命,6
八十四法,1
講堂,5
我有,2
摩得勒伽,3
說戒師,5
逆順,1
摩夷,4
教,443
向上,5
羅剎,4
跋難陀,1
識界,1
常住二字,1
見至,1
陰界,2
妙法,2
睒彌,1
圓輪,1
敷具,8
五綵幡,1
請賓頭盧,1
下眾,2
種智,2
惡言,4
見聞,37
見者,16
歸依僧,7
依,454
持淨,5
梵行,24
菩提,5
駱駝坐,1
華,94
性戒,6
見處,3
摩尼,1
未受具人,6
瓶,43
方相,11
冥,9
業道,7
付法藏傳,1
佛生日,3
睡,40
幻,7
辯才,1
地了,1
地人,3
性惡,1
去來今,1
地上,7
加行,3
地中,6
慧觀,1
惡眾生,2
污家,18
疑,161
滅後,7
互用罪,1
知法,19
菩薩行,2
槃陀,3
婆羅,5
振鈴,1
見論,2
善法罵,1
合十,3
緣,745
如法治,11
知淨,8
唄讚,2
滅度,10
施無厭,1
再請,1
優婆塞戒,2
忍,175
繫著,2
正業,5
捨戒,14
乞食十利,1
對機,1
白佛,6
僧祇支,9
狐,2
力者,5
雲集,3
方等,5
見行,2
迦毘羅,1
持戒,82
白四羯磨,3
堪忍,1
禪齋,1
毛孔,1
震旦,1
十方世界,1
駱駝山,1
下種,1
火淨,24
論議,1
意樂,1
自覺,1
香華,8
眾生心,1
樓至,1
遠離,13
教勅,4
隨自,1
火珠,1
息心,3
性相,1
火爐,1
財供養,1
心念法,10
佉闍尼,4
憐愍,3
使,277
上衣,8
住持三寶,1
觀想,1
消滅,2
釋侶,1
兜率,3
方所,1
十,1335
學人,4
唄,18
富那奇,1
優填王,1
見道,1
若那,1
流沙,1
上足,2
流注,1
婆提,3
業苦,1
舍利弗問經,1
第一義,1
心念口言,7
尼薩耆,8
中實,1
解脫戒,1
懺,303
億,14
問訊,19
廣說,19
乳糜,1
中天,1
悅眾,4
綱維,5
捨羅,1
先世,1
蒲闍尼,2
樂果,1
餘習,3
伺,4
第一義諦,1
解了,1
中因,1
盡壽藥,1
性罪,2
地內,1
上肩,2
波斯,1
所作,21
無因果外道,1
事識,4
三障,2
蘇油,2
禪行,1
梵難,7
小妄語戒,1
中品,12
受食,53
竹葦,1
事觀,1
梵音,2
結賊,1
衢,3
持犯,33
我,509
婆沙,15
彼岸,1
地前,1
歸依佛,10
露地坐,1
房,212
廢立,7
鍵,7
梵釋,1
貪著,11
叉手,1
鬼子母,1
性空,1
專心,4
業行,2
七滅諍,3
兜羅,2
迴向,2
誦,570
前安居,9
吉羅,258
說四依,1
十二部經,1
龕,1
慳貪,4
劫初,1
同行,6
下品,20
能行者,1
正法律,2
悟道,2
闥婆,1
徒眾,9
意業,3
等觀,1
遠離處,1
佛藏,7
高僧傳,1
作佛,9
滅相,1
驅烏沙彌,1
鏡,11
應護,1
四戒,8
唯識無境,1
多陀阿伽度,1
條衣,3
滅理,1
父,76
骨人,1
九十六種外道,2
娑,1
解界,12
壽者,2
歌唄,1
發願,4
羅睺,2
驅烏,1
飲食,30
料簡,23
覆肩衣,5
無常院,1
直說,3
淨住,2
非天,1
到岸,1
等身,1
烏,6
中根,2
懺儀,7
貫華,1
樂天,2
摩耶經,2
對治,12
轉欲,1
應身,1
自在,14
正法念經,1
應法,11
中有,80
寶華,2
愛,55
平等心,1
己利,1
味著,1
波羅夜質胝柯,1
要道,2
清淨,155
無作色,2
珂貝,1
