word,num_1435,freq_1435
慧學,5,1.353161288540933e-05
空三昧,2,5.412645154163732e-06
無貪,7,1.8944258039573064e-05
八十種好,2,5.412645154163732e-06
鞞訶羅,2,5.412645154163732e-06
五百世,2,5.412645154163732e-06
二道,18,4.871380638747359e-05
鹿,84,0.00022733109647487678
犍,19,5.142012896455546e-05
滅道,2,5.412645154163732e-06
無足,3,8.1189677312456e-06
觀法,4,1.0825290308327464e-05
多生,6,1.62379354624912e-05
小草,1,2.706322577081866e-06
身業,9,2.4356903193736796e-05
依止師,10,2.706322577081866e-05
活,98,0.0002652196125540229
化法,3,8.1189677312456e-06
外學,2,5.412645154163732e-06
三佛陀,16,4.3301161233309857e-05
優樓,2,5.412645154163732e-06
內衣,1,2.706322577081866e-06
依他,1,2.706322577081866e-06
多瞋,2,5.412645154163732e-06
供具,17,4.600748381039173e-05
身根,9,2.4356903193736796e-05
阿摩,21,5.6832774118719194e-05
肉身,1,2.706322577081866e-06
惡趣,4,1.0825290308327464e-05
起行,7,1.8944258039573064e-05
天上,28,7.577703215829225e-05
娑羅王,1,2.706322577081866e-06
天人,23,6.224541927288292e-05
熱惱,1,2.706322577081866e-06
思惟,263,0.0007117628377725308
惡說,2,5.412645154163732e-06
近緣,1,2.706322577081866e-06
機,8,2.1650580616654928e-05
僧戒,8,2.1650580616654928e-05
惡語,32,8.660232246661971e-05
善來得,1,2.706322577081866e-06
無記,40,0.00010825290308327464
十法,8,2.1650580616654928e-05
深淨,1,2.706322577081866e-06
福行,1,2.706322577081866e-06
八聖,1,2.706322577081866e-06
因,1937,0.005242146831807575
阿耨達,11,2.976954834790053e-05
無諍,13,3.518219350206426e-05
誓言,1,2.706322577081866e-06
深法,5,1.353161288540933e-05
道者,10,2.706322577081866e-05
摩訶迦旃延,2,5.412645154163732e-06
惡見,8,2.1650580616654928e-05
闍毘,1,2.706322577081866e-06
五相,4,1.0825290308327464e-05
無著,4,1.0825290308327464e-05
二食,1,2.706322577081866e-06
有一人,11,2.976954834790053e-05
頂禮,1,2.706322577081866e-06
小行,2,5.412645154163732e-06
身戒,8,2.1650580616654928e-05
慧利,2,5.412645154163732e-06
戒體,1,2.706322577081866e-06
道行,55,0.00014884774173950263
真實,14,3.788851607914613e-05
五眾,33,8.930864504370159e-05
十指,1,2.706322577081866e-06
行道,58,0.00015696670947074824
不共相,1,2.706322577081866e-06
愛道,7,1.8944258039573064e-05
鹿杖梵志,2,5.412645154163732e-06
十惡,2,5.412645154163732e-06
頭破七分,1,2.706322577081866e-06
羊角,12,3.24758709249824e-05
跋陀迦毘羅,4,1.0825290308327464e-05
頭面作禮,29,7.848335473537412e-05
多羅,261,0.0007063501926183671
懈怠,2,5.412645154163732e-06
世界,2,5.412645154163732e-06
夜叉,68,0.0001840299352415669
起者,11,2.976954834790053e-05
空無,71,0.0001921489029728125
道諦,1,2.706322577081866e-06
五畏,2,5.412645154163732e-06
祇園,1,2.706322577081866e-06
大事,7,1.8944258039573064e-05
悲心,4,1.0825290308327464e-05
不與取,20,5.412645154163732e-05
羯磨僧,2,5.412645154163732e-06
象鼻,4,1.0825290308327464e-05
安闍那,3,8.1189677312456e-06
大信,1,2.706322577081866e-06
通力,41,0.00011095922566035651
弗婆提,2,5.412645154163732e-06
僧殘,4,1.0825290308327464e-05
難行,2,5.412645154163732e-06
僧次,2,5.412645154163732e-06
通利,25,6.765806442704666e-05
深智,1,2.706322577081866e-06
結跏,5,1.353161288540933e-05
至教,4,1.0825290308327464e-05
明相,4,1.0825290308327464e-05
別請,7,1.8944258039573064e-05
我執,1,2.706322577081866e-06
吒,302,0.0008173094182787236
壽命,4,1.0825290308327464e-05
十方,5,1.353161288540933e-05
聲聞,19,5.142012896455546e-05
急施衣,7,1.8944258039573064e-05
娑羅,5,1.353161288540933e-05
誑,20,5.412645154163732e-05
行陰,3,8.1189677312456e-06
懺悔,109,0.0002949891609019234
