摩訶迦旃延,1,2.9748681929274353e-06
鉢耽嵐婆,1,2.9748681929274353e-06
跋陀迦毘羅,8,2.3798945543419483e-05
無餘涅槃,3,8.924604578782306e-06
頭面作禮,20,5.94973638585487e-05
鬼子母神,1,2.9748681929274353e-06
鳩夷羅衣,1,2.9748681929274353e-06
式叉迦羅尼,37,0.0001100701231383151
八波羅夷,8,2.3798945543419483e-05
火光三昧,4,1.1899472771709741e-05
差羅波尼,2,5.949736385854871e-06
怨憎會苦,1,2.9748681929274353e-06
摩訶波闍波提,28,8.329630940196818e-05
二百五十戒,12,3.569841831512922e-05
婆羅門書,1,2.9748681929274353e-06
分陀利華,10,2.974868192927435e-05
轉輪高座,1,2.9748681929274353e-06
優波提舍,20,5.94973638585487e-05
大婆羅門,3,8.924604578782306e-06
阿浮呵那,2,5.949736385854871e-06
羅漢比丘,4,1.1899472771709741e-05
四種供養,1,2.9748681929274353e-06
遠塵離垢,10,2.974868192927435e-05
波闍波提,28,8.329630940196818e-05
富羅跋陀羅,1,2.9748681929274353e-06
比丘尼戒,1,2.9748681929274353e-06
提頭賴吒,2,5.949736385854871e-06
七多羅樹,1,2.9748681929274353e-06
勿力伽難提,7,2.0824077350492045e-05
五百由旬,1,2.9748681929274353e-06
波利迦羅,28,8.329630940196818e-05
無覺有觀三昧,1,2.9748681929274353e-06
六群比丘尼,266,0.0007913149393186978
迦維羅衛,20,5.94973638585487e-05
勇猛精進,1,2.9748681929274353e-06
在在處處,1,2.9748681929274353e-06
愛別離苦,1,2.9748681929274353e-06
白四羯磨,124,0.000368883655923002
如是我聞,1,2.9748681929274353e-06
跋闍子比丘,11,3.2723550122201785e-05
瞿師羅園,13,3.867328650805666e-05
心念口言,3,8.924604578782306e-06
兜率天子,1,2.9748681929274353e-06
迦蘭陀村,3,8.924604578782306e-06
毘舍佉母,25,7.437170482318588e-05
五百羅剎女,1,2.9748681929274353e-06
六種震動,1,2.9748681929274353e-06
半跏趺坐,1,2.9748681929274353e-06
迦留陀夷,172,0.0005116773291835189
五盛陰苦,1,2.9748681929274353e-06
阿那含果,8,2.3798945543419483e-05
須陀洹果,17,5.0572759279766396e-05
阿僧祇劫,1,2.9748681929274353e-06
優鉢羅華,3,8.924604578782306e-06
大迦旃延,6,1.784920915756461e-05
供養第一,2,5.949736385854871e-06
無作三昧,1,2.9748681929274353e-06
給孤獨園,266,0.0007913149393186978
烏伽羅國鉢,1,2.9748681929274353e-06
名字比丘,1,2.9748681929274353e-06
翅舍欽婆羅,3,8.924604578782306e-06
祇樹給孤獨園,266,0.0007913149393186978
白二羯磨,149,0.00044325536074618784
優婆提舍,1,2.9748681929274353e-06
式叉摩那,373,0.0011096258359619333
生老病死,4,1.1899472771709741e-05
迦葉尊者,1,2.9748681929274353e-06
教授阿闍梨,2,5.949736385854871e-06
千輻輪相,3,8.924604578782306e-06
出佛身血,15,4.462302289391153e-05
調御丈夫,10,2.974868192927435e-05
十三僧殘,1,2.9748681929274353e-06
阿羅漢果,18,5.3547627472693834e-05
十二因緣論,2,5.949736385854871e-06
三十二大人相,1,2.9748681929274353e-06
無上法輪,4,1.1899472771709741e-05
有想無想,7,2.0824077350492045e-05
讖羅半尼,1,2.9748681929274353e-06
受戒阿闍梨,2,5.949736385854871e-06
布薩犍度,3,8.924604578782306e-06
閻浮檀金,7,2.0824077350492045e-05
波羅提木叉,34,0.00010114551855953279
波羅提提舍尼,44,0.00013089420048880714
僧自恣日,1,2.9748681929274353e-06
伊梨延陀,9,2.6773813736346917e-05
有覺有觀三昧,1,2.9748681929274353e-06
珠髻大臣,1,2.9748681929274353e-06
末佉梨劬奢離,1,2.9748681929274353e-06
不增不減,3,8.924604578782306e-06
千二百五十人,13,3.867328650805666e-05
不惜身命,1,2.9748681929274353e-06
蘇摩國鉢,1,2.9748681929274353e-06
空無相無願,2,5.949736385854871e-06
自恣犍度,1,2.9748681929274353e-06
五種正食,1,2.9748681929274353e-06
一切世間,1,2.9748681929274353e-06
未曾有經,2,5.949736385854871e-06
受戒犍度,1,2.9748681929274353e-06
烏婆陀頗尼,1,2.9748681929274353e-06
解脫知見,4,1.1899472771709741e-05
天魔波旬,1,2.9748681929274353e-06
請佛住世,1,2.9748681929274353e-06
不蘭迦葉,10,2.974868192927435e-05
十二因緣,2,5.949736385854871e-06
斯陀含果,8,2.3798945543419483e-05
伊羅鉢龍王,6,1.784920915756461e-05
迦陵伽王,1,2.9748681929274353e-06
漏盡阿羅漢,1,2.9748681929274353e-06
琉璃太子,2,5.949736385854871e-06
無上正真道,2,5.949736385854871e-06
八萬四千,22,6.544710024440357e-05
轉輪聖王,8,2.3798945543419483e-05
釋迦牟尼,1,2.9748681929274353e-06
六年苦行,1,2.9748681929274353e-06
摩訶迦葉,6,1.784920915756461e-05
差摩比丘,8,2.3798945543419483e-05
波利婆沙,12,3.569841831512922e-05
去此不遠,3,8.924604578782306e-06
迦羅比丘,12,3.569841831512922e-05
諸惡莫作,4,1.1899472771709741e-05
薩闍羅娑,1,2.9748681929274353e-06
十七群比丘,50,0.00014874340964637176
出家阿闍梨,2,5.949736385854871e-06
阿若憍陳如,9,2.6773813736346917e-05
那提迦葉,8,2.3798945543419483e-05
難陀弟子,1,2.9748681929274353e-06
慈地比丘,39,0.00011601985952416998
空無相無作,1,2.9748681929274353e-06
少欲知足,363,0.001079877154032659
都子婆羅門村,2,5.949736385854871e-06
末利夫人,15,4.462302289391153e-05
無覺無觀三昧,1,2.9748681929274353e-06
拘那含牟尼,5,1.4874340964637175e-05
