word,num1804,freq1804,num1428,freq1428,freq_diff,num_1421,freq_1421,delta_1421,num_1435,freq_1435,delta_1435,num_1425,freq_1425,delta_1425,num_1462,freq_1462,delta_1462
慧學,1.0,8.518776507566325e-06,21.0,6.247223205147615e-05,-5.395345554390982e-05,2.0,1.2541799554203704e-05,-4.02302304663738e-06,5.0,1.353161288540933e-05,-5.012836377843006e-06,3.0,1.1574506410318166e-05,-3.0557299027518413e-06,1.0,1.060399834132819e-05,-2.085221833761866e-06
二邊,5.0,4.259388253783162e-05,4.0,1.189947277170974e-05,3.069440976612189e-05,2.0,1.2541799554203704e-05,3.005208298362792e-05,0.0,0.0,4.259388253783162e-05,3.0,1.1574506410318166e-05,3.1019376127513455e-05,0.0,0.0,4.259388253783162e-05
空三昧,1.0,8.518776507566325e-06,2.0,5.9497363858548715e-06,2.569040121711453e-06,1.0,6.2708997771018505e-06,2.247876730464474e-06,2.0,5.412645154163732e-06,3.1061313534025926e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06
行香,7.0,5.963143555296427e-05,0.0,0.0,5.963143555296427e-05,1.0,6.2708997771018505e-06,5.336053577586242e-05,0.0,0.0,5.963143555296427e-05,1.0,3.858168803439388e-06,5.577326674952488e-05,0.0,0.0,5.963143555296427e-05
無貪,5.0,4.259388253783162e-05,5.0,1.4874340964637177e-05,2.7719541573194446e-05,0.0,0.0,4.259388253783162e-05,7.0,1.8944258039573064e-05,2.364962449825856e-05,4.0,1.543267521375755e-05,2.7161207324074073e-05,1.0,1.060399834132819e-05,3.198988419650343e-05
宗義,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06
五百世,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,1.0,6.2708997771018505e-06,2.247876730464474e-06,2.0,5.412645154163732e-06,3.1061313534025926e-06,3.0,1.1574506410318166e-05,-3.0557299027518413e-06,0.0,0.0,8.518776507566325e-06
二道,5.0,4.259388253783162e-05,46.0,0.00013684393687466201,-9.425005433683039e-05,4.0,2.5083599108407402e-05,1.751028342942422e-05,18.0,4.871380638747359e-05,-6.11992384964197e-06,1.0,3.858168803439388e-06,3.8735713734392234e-05,6.0,6.362399004796914e-05,-2.103010751013752e-05
鹿,9.0,7.666898856809692e-05,45.0,0.0001338690686817346,-5.720008011363767e-05,16.0,0.00010033439643362961,-2.3665407865532687e-05,84.0,0.0002273310964748768,-0.0001506621079067799,105.0,0.00040510772436113567,-0.00032843873579303876,44.0,0.0004665759270184403,-0.0003899069384503434
犍,12.0,0.00010222531809079591,24.0,7.139683663025843e-05,3.082848146053748e-05,14.0,8.779259687942592e-05,1.443272121136999e-05,19.0,5.1420128964555464e-05,5.0805189126240445e-05,2.0,7.716337606878775e-06,9.450898048391713e-05,12.0,0.00012724798009593828,-2.5022662005142374e-05
行住坐臥,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,2.0,7.716337606878775e-06,8.024389006875496e-07,4.0,4.241599336531276e-05,-3.389721685774644e-05
遮難,11.0,9.370654158322957e-05,0.0,0.0,9.370654158322957e-05,0.0,0.0,9.370654158322957e-05,0.0,0.0,9.370654158322957e-05,19.0,7.330520726534836e-05,2.040133431788121e-05,0.0,0.0,9.370654158322957e-05
無足,1.0,8.518776507566325e-06,5.0,1.4874340964637177e-05,-6.3555644570708525e-06,0.0,0.0,8.518776507566325e-06,3.0,8.1189677312456e-06,3.9980877632072525e-07,14.0,5.401436324815142e-05,-4.54955867405851e-05,5.0,5.301999170664096e-05,-4.450121519907464e-05
觀法,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,4.0,1.0825290308327464e-05,-2.3065138007611395e-06,0.0,0.0,8.518776507566325e-06,5.0,5.301999170664096e-05,-4.450121519907464e-05
外塵,2.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,1.0,3.858168803439388e-06,1.317938421169326e-05,0.0,0.0,1.703755301513265e-05
多生,3.0,2.5556329522698967e-05,2.0,5.9497363858548715e-06,1.9606593136844096e-05,0.0,0.0,2.5556329522698967e-05,6.0,1.62379354624912e-05,9.318394060207768e-06,0.0,0.0,2.5556329522698967e-05,1.0,1.060399834132819e-05,1.4952331181370776e-05
祇夜,1.0,8.518776507566325e-06,1.0,2.9748681929274358e-06,5.543908314638889e-06,1.0,6.2708997771018505e-06,2.247876730464474e-06,0.0,0.0,8.518776507566325e-06,3.0,1.1574506410318166e-05,-3.0557299027518413e-06,1.0,1.060399834132819e-05,-2.085221833761866e-06
身業,3.0,2.5556329522698967e-05,4.0,1.189947277170974e-05,1.3656856750989227e-05,0.0,0.0,2.5556329522698967e-05,9.0,2.43569031937368e-05,1.1994263289621673e-06,6.0,2.3149012820636325e-05,2.407316702062642e-06,17.0,0.00018026797180257926,-0.0001547116422798803
依止師,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,4.0,2.5083599108407402e-05,-1.6564822600841077e-05,10.0,2.706322577081866e-05,-1.8544449263252337e-05,1.0,3.858168803439388e-06,4.660607704126936e-06,2.0,2.120799668265638e-05,-1.2689220175090057e-05
活,21.0,0.00017889430665889283,81.0,0.0002409643236271222,-6.207001696822937e-05,22.0,0.00013795979509624074,4.093451156265209e-05,98.0,0.0002652196125540229,-8.632530589513005e-05,109.0,0.00042054039957489315,-0.00024164609291600032,29.0,0.0003075159518985176,-0.00012862164523962477
三佛陀,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,16.0,4.3301161233309857e-05,-3.478238472574353e-05,2.0,7.716337606878775e-06,8.024389006875496e-07,7.0,7.422798838929732e-05,-6.5709211881731e-05
色空外道,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06
內衣,12.0,0.00010222531809079591,0.0,0.0,0.00010222531809079591,3.0,1.8812699331305554e-05,8.341261875949036e-05,1.0,2.706322577081866e-06,9.951899551371404e-05,42.0,0.00016204308974445428,-5.981777165365837e-05,0.0,0.0,0.00010222531809079591
施惠,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06
依他,4.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,1.0,2.706322577081866e-06,3.1368783453183434e-05,4.0,1.543267521375755e-05,1.864243081650775e-05,0.0,0.0,3.40751060302653e-05
多瞋,1.0,8.518776507566325e-06,6.0,1.7849209157564608e-05,-9.330432649998283e-06,0.0,0.0,8.518776507566325e-06,2.0,5.412645154163732e-06,3.1061313534025926e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06
五緣,61.0,0.0005196453669615458,0.0,0.0,0.0005196453669615458,0.0,0.0,0.0005196453669615458,0.0,0.0,0.0005196453669615458,1.0,3.858168803439388e-06,0.0005157871981581064,0.0,0.0,0.0005196453669615458
供具,5.0,4.259388253783162e-05,8.0,2.3798945543419486e-05,1.8794936994412137e-05,1.0,6.2708997771018505e-06,3.632298276072977e-05,17.0,4.600748381039173e-05,-3.413601272560105e-06,4.0,1.543267521375755e-05,2.7161207324074073e-05,0.0,0.0,4.259388253783162e-05
身根,1.0,8.518776507566325e-06,2.0,5.9497363858548715e-06,2.569040121711453e-06,0.0,0.0,8.518776507566325e-06,9.0,2.43569031937368e-05,-1.5838126686170475e-05,1.0,3.858168803439388e-06,4.660607704126936e-06,1.0,1.060399834132819e-05,-2.085221833761866e-06
塵沙,4.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05
阿摩,2.0,1.703755301513265e-05,12.0,3.5698418315129216e-05,-1.8660865299996566e-05,3.0,1.8812699331305554e-05,-1.7751463161729049e-06,21.0,5.68327741187192e-05,-3.979522110358655e-05,15.0,5.787253205159081e-05,-4.083497903645816e-05,6.0,6.362399004796914e-05,-4.658643703283649e-05
六趣,3.0,2.5556329522698967e-05,0.0,0.0,2.5556329522698967e-05,0.0,0.0,2.5556329522698967e-05,0.0,0.0,2.5556329522698967e-05,2.0,7.716337606878775e-06,1.7839991915820192e-05,0.0,0.0,2.5556329522698967e-05
肉身,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,1.0,2.706322577081866e-06,5.812453930484458e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06
惡趣,2.0,1.703755301513265e-05,5.0,1.4874340964637177e-05,2.163212050495472e-06,0.0,0.0,1.703755301513265e-05,4.0,1.0825290308327464e-05,6.212262706805185e-06,4.0,1.543267521375755e-05,1.6048778013750991e-06,0.0,0.0,1.703755301513265e-05
起行,3.0,2.5556329522698967e-05,3.0,8.924604578782306e-06,1.663172494391666e-05,1.0,6.2708997771018505e-06,1.9285429745597116e-05,7.0,1.8944258039573064e-05,6.612071483125904e-06,2.0,7.716337606878775e-06,1.7839991915820192e-05,0.0,0.0,2.5556329522698967e-05
十業,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06
五結,2.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05
塵欲,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,1.0,1.060399834132819e-05,-2.085221833761866e-06
天上,3.0,2.5556329522698967e-05,11.0,3.2723550122201785e-05,-7.167220599502818e-06,12.0,7.525079732522222e-05,-4.969446780252325e-05,28.0,7.577703215829225e-05,-5.022070263559329e-05,12.0,4.629802564127265e-05,-2.0741696118573683e-05,19.0,0.0002014759684852356,-0.00017591963896253663
娑羅王,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,1.0,2.706322577081866e-06,5.812453930484458e-06,1.0,3.858168803439388e-06,4.660607704126936e-06,0.0,0.0,8.518776507566325e-06
天人,8.0,6.81502120605306e-05,18.0,5.354762747269384e-05,1.4602584587836757e-05,4.0,2.5083599108407402e-05,4.306661295212319e-05,23.0,6.224541927288292e-05,5.90479278764768e-06,19.0,7.330520726534836e-05,-5.154995204817764e-06,61.0,0.0006468438988210196,-0.000578693686760489
慧心,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,1.0,3.858168803439388e-06,4.660607704126936e-06,1.0,1.060399834132819e-05,-2.085221833761866e-06
熱惱,2.0,1.703755301513265e-05,3.0,8.924604578782306e-06,8.112948436350344e-06,1.0,6.2708997771018505e-06,1.0766653238030798e-05,1.0,2.706322577081866e-06,1.4331230438050783e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05
思惟,17.0,0.00014481920062862748,93.0,0.0002766627419422514,-0.00013184354131362392,13.0,8.152169710232407e-05,6.32975035263034e-05,263.0,0.0007117628377725307,-0.0005669436371439033,71.0,0.0002739299850441965,-0.00012911078441556903,21.0,0.000222683965167892,-7.786476453926452e-05
惡說,6.0,5.111265904539795e-05,53.0,0.00015766801422515406,-0.00010655535517975612,8.0,5.0167198216814804e-05,9.454608285831435e-07,2.0,5.412645154163732e-06,4.570001389123422e-05,0.0,0.0,5.111265904539795e-05,1.0,1.060399834132819e-05,4.0508660704069755e-05
機,16.0,0.0001363004241210612,5.0,1.4874340964637177e-05,0.00012142608315642402,5.0,3.135449888550926e-05,0.00010494592523555194,8.0,2.1650580616654928e-05,0.00011464984350440626,1.0,3.858168803439388e-06,0.0001324422553176218,0.0,0.0,0.0001363004241210612
僧戒,5.0,4.259388253783162e-05,0.0,0.0,4.259388253783162e-05,0.0,0.0,4.259388253783162e-05,8.0,2.1650580616654928e-05,2.0943301921176695e-05,0.0,0.0,4.259388253783162e-05,1.0,1.060399834132819e-05,3.198988419650343e-05
業有,3.0,2.5556329522698967e-05,0.0,0.0,2.5556329522698967e-05,1.0,6.2708997771018505e-06,1.9285429745597116e-05,0.0,0.0,2.5556329522698967e-05,0.0,0.0,2.5556329522698967e-05,0.0,0.0,2.5556329522698967e-05
五穀,2.0,1.703755301513265e-05,1.0,2.9748681929274358e-06,1.4062684822205213e-05,2.0,1.2541799554203704e-05,4.495753460928945e-06,0.0,0.0,1.703755301513265e-05,3.0,1.1574506410318166e-05,5.463046604814483e-06,3.0,3.181199502398457e-05,-1.4774442008851921e-05
惡語,2.0,1.703755301513265e-05,42.0,0.0001249444641029523,-0.00010790691108781964,30.0,0.00018812699331305555,-0.0001710894402979229,32.0,8.660232246661971e-05,-6.956476945148706e-05,10.0,3.858168803439387e-05,-2.1544135019261223e-05,8.0,8.483198673062553e-05,-6.779443371549288e-05
二門,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,1.0,3.858168803439388e-06,4.660607704126936e-06,1.0,1.060399834132819e-05,-2.085221833761866e-06
五篇,11.0,9.370654158322957e-05,0.0,0.0,9.370654158322957e-05,0.0,0.0,9.370654158322957e-05,0.0,0.0,9.370654158322957e-05,7.0,2.700718162407571e-05,6.669935995915385e-05,5.0,5.301999170664096e-05,4.068654987658861e-05
僧伽跋摩,2.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05
拔苦與樂,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06
戒門,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06
無記,22.0,0.00018741308316645917,18.0,5.354762747269384e-05,0.00013386545569376532,2.0,1.2541799554203704e-05,0.00017487128361225545,40.0,0.00010825290308327464,7.916018008318452e-05,0.0,0.0,0.00018741308316645917,12.0,0.00012724798009593828,6.0165103070520886e-05
二障,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06
沙彌戒經,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06
二離,2.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,1.0,3.858168803439388e-06,1.317938421169326e-05,2.0,2.120799668265638e-05,-4.170443667523732e-06
六行,4.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05
十法,2.0,1.703755301513265e-05,20.0,5.949736385854871e-05,-4.245981084341606e-05,6.0,3.762539866261111e-05,-2.058784564747846e-05,8.0,2.1650580616654928e-05,-4.613027601522279e-06,32.0,0.0001234614017100604,-0.00010642384869492775,4.0,4.241599336531276e-05,-2.5378440350180114e-05
福行,2.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,1.0,2.706322577081866e-06,1.4331230438050783e-05,1.0,3.858168803439388e-06,1.317938421169326e-05,0.0,0.0,1.703755301513265e-05
八聖,2.0,1.703755301513265e-05,4.0,1.189947277170974e-05,5.1380802434229096e-06,3.0,1.8812699331305554e-05,-1.7751463161729049e-06,1.0,2.706322577081866e-06,1.4331230438050783e-05,1.0,3.858168803439388e-06,1.317938421169326e-05,1.0,1.060399834132819e-05,6.4335546738044584e-06
因,244.0,0.0020785814678461827,1053.0,0.003132536207152589,-0.0010539547393064062,251.0,0.001573995844052565,0.0005045856237936178,1937.0,0.005242146831807575,-0.003163565363961392,727.0,0.002804888720100435,-0.0007263072522542525,360.0,0.0038174394028781494,-0.0017388579350319667
阿耨達,1.0,8.518776507566325e-06,5.0,1.4874340964637177e-05,-6.3555644570708525e-06,5.0,3.135449888550926e-05,-2.2835722377942932e-05,11.0,2.976954834790053e-05,-2.1250771840334205e-05,1.0,3.858168803439388e-06,4.660607704126936e-06,3.0,3.181199502398457e-05,-2.3293218516418246e-05
無諍,1.0,8.518776507566325e-06,2.0,5.9497363858548715e-06,2.569040121711453e-06,7.0,4.389629843971296e-05,-3.5377521932146635e-05,13.0,3.5182193502064255e-05,-2.666341699449793e-05,1.0,3.858168803439388e-06,4.660607704126936e-06,1.0,1.060399834132819e-05,-2.085221833761866e-06
校量,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06
誓言,1.0,8.518776507566325e-06,1.0,2.9748681929274358e-06,5.543908314638889e-06,2.0,1.2541799554203704e-05,-4.02302304663738e-06,1.0,2.706322577081866e-06,5.812453930484458e-06,2.0,7.716337606878775e-06,8.024389006875496e-07,5.0,5.301999170664096e-05,-4.450121519907464e-05
