word,num1804,freq1804,num1428,freq1428,freq_diff,num_1421,freq_1421,delta_1421,num_1435,freq_1435,delta_1435,num_1425,freq_1425,delta_1425,num_1462,freq_1462,delta_1462,averaged_delta_mf
三佛陀,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,16.0,4.3301161233309857e-05,-3.478238472574353e-05,2.0,7.716337606878775e-06,8.024389006875496e-07,7.0,7.422798838929732e-05,-6.5709211881731e-05,-1.6530320938330866e-05
色空外道,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,8.518776507566325e-06
內衣,12.0,0.00010222531809079591,0.0,0.0,0.00010222531809079591,3.0,1.8812699331305554e-05,8.341261875949036e-05,1.0,2.706322577081866e-06,9.951899551371404e-05,42.0,0.00016204308974445428,-5.981777165365837e-05,0.0,0.0,0.00010222531809079591,6.551289576022757e-05
施惠,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,8.518776507566325e-06
依他,4.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,1.0,2.706322577081866e-06,3.1368783453183434e-05,4.0,1.543267521375755e-05,1.864243081650775e-05,0.0,0.0,3.40751060302653e-05,3.0447306472097417e-05
多瞋,1.0,8.518776507566325e-06,6.0,1.7849209157564608e-05,-9.330432649998283e-06,0.0,0.0,8.518776507566325e-06,2.0,5.412645154163732e-06,3.1061313534025926e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,3.866405645220656e-06
五緣,61.0,0.0005196453669615458,0.0,0.0,0.0005196453669615458,0.0,0.0,0.0005196453669615458,0.0,0.0,0.0005196453669615458,1.0,3.858168803439388e-06,0.0005157871981581064,0.0,0.0,0.0005196453669615458,0.0005188737332008579
供具,5.0,4.259388253783162e-05,8.0,2.3798945543419486e-05,1.8794936994412137e-05,1.0,6.2708997771018505e-06,3.632298276072977e-05,17.0,4.600748381039173e-05,-3.413601272560105e-06,4.0,1.543267521375755e-05,2.7161207324074073e-05,0.0,0.0,4.259388253783162e-05,2.42918816688975e-05
身根,1.0,8.518776507566325e-06,2.0,5.9497363858548715e-06,2.569040121711453e-06,0.0,0.0,8.518776507566325e-06,9.0,2.43569031937368e-05,-1.5838126686170475e-05,1.0,3.858168803439388e-06,4.660607704126936e-06,1.0,1.060399834132819e-05,-2.085221833761866e-06,-4.349848373055255e-07
塵沙,4.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,3.40751060302653e-05
阿摩,2.0,1.703755301513265e-05,12.0,3.5698418315129216e-05,-1.8660865299996566e-05,3.0,1.8812699331305554e-05,-1.7751463161729049e-06,21.0,5.68327741187192e-05,-3.979522110358655e-05,15.0,5.787253205159081e-05,-4.083497903645816e-05,6.0,6.362399004796914e-05,-4.658643703283649e-05,-2.9530529757810133e-05
六趣,3.0,2.5556329522698967e-05,0.0,0.0,2.5556329522698967e-05,0.0,0.0,2.5556329522698967e-05,0.0,0.0,2.5556329522698967e-05,2.0,7.716337606878775e-06,1.7839991915820192e-05,0.0,0.0,2.5556329522698967e-05,2.4013062001323213e-05
肉身,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,1.0,2.706322577081866e-06,5.812453930484458e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,7.977511992149952e-06
惡趣,2.0,1.703755301513265e-05,5.0,1.4874340964637177e-05,2.163212050495472e-06,0.0,0.0,1.703755301513265e-05,4.0,1.0825290308327464e-05,6.212262706805185e-06,4.0,1.543267521375755e-05,1.6048778013750991e-06,0.0,0.0,1.703755301513265e-05,8.811091717788211e-06
起行,3.0,2.5556329522698967e-05,3.0,8.924604578782306e-06,1.663172494391666e-05,1.0,6.2708997771018505e-06,1.9285429745597116e-05,7.0,1.8944258039573064e-05,6.612071483125904e-06,2.0,7.716337606878775e-06,1.7839991915820192e-05,0.0,0.0,2.5556329522698967e-05,1.718510952223177e-05
十業,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,8.518776507566325e-06
五結,2.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,1.703755301513265e-05
塵欲,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,1.0,1.060399834132819e-05,-2.085221833761866e-06,6.3979768393006865e-06
天上,3.0,2.5556329522698967e-05,11.0,3.2723550122201785e-05,-7.167220599502818e-06,12.0,7.525079732522222e-05,-4.969446780252325e-05,28.0,7.577703215829225e-05,-5.022070263559329e-05,12.0,4.629802564127265e-05,-2.0741696118573683e-05,19.0,0.0002014759684852356,-0.00017591963896253663,-6.0748745223745935e-05
娑羅王,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,1.0,2.706322577081866e-06,5.812453930484458e-06,1.0,3.858168803439388e-06,4.660607704126936e-06,0.0,0.0,8.518776507566325e-06,7.205878231462074e-06
天人,8.0,6.81502120605306e-05,18.0,5.354762747269384e-05,1.4602584587836757e-05,4.0,2.5083599108407402e-05,4.306661295212319e-05,23.0,6.224541927288292e-05,5.90479278764768e-06,19.0,7.330520726534836e-05,-5.154995204817764e-06,61.0,0.0006468438988210196,-0.000578693686760489,-0.00010405493832753982
慧心,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,1.0,3.858168803439388e-06,4.660607704126936e-06,1.0,1.060399834132819e-05,-2.085221833761866e-06,5.6263430786128084e-06
熱惱,2.0,1.703755301513265e-05,3.0,8.924604578782306e-06,8.112948436350344e-06,1.0,6.2708997771018505e-06,1.0766653238030798e-05,1.0,2.706322577081866e-06,1.4331230438050783e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,1.3457187628539445e-05
思惟,17.0,0.00014481920062862748,93.0,0.0002766627419422514,-0.00013184354131362392,13.0,8.152169710232407e-05,6.32975035263034e-05,263.0,0.0007117628377725307,-0.0005669436371439033,71.0,0.0002739299850441965,-0.00012911078441556903,21.0,0.000222683965167892,-7.786476453926452e-05,-0.00016849304477721148
惡說,6.0,5.111265904539795e-05,53.0,0.00015766801422515406,-0.00010655535517975612,8.0,5.0167198216814804e-05,9.454608285831435e-07,2.0,5.412645154163732e-06,4.570001389123422e-05,0.0,0.0,5.111265904539795e-05,1.0,1.060399834132819e-05,4.0508660704069755e-05,6.342287857905789e-06
機,16.0,0.0001363004241210612,5.0,1.4874340964637177e-05,0.00012142608315642402,5.0,3.135449888550926e-05,0.00010494592523555194,8.0,2.1650580616654928e-05,0.00011464984350440626,1.0,3.858168803439388e-06,0.0001324422553176218,0.0,0.0,0.0001363004241210612,0.00012195290626701304
僧戒,5.0,4.259388253783162e-05,0.0,0.0,4.259388253783162e-05,0.0,0.0,4.259388253783162e-05,8.0,2.1650580616654928e-05,2.0943301921176695e-05,0.0,0.0,4.259388253783162e-05,1.0,1.060399834132819e-05,3.198988419650343e-05,3.6142966746235e-05
業有,3.0,2.5556329522698967e-05,0.0,0.0,2.5556329522698967e-05,1.0,6.2708997771018505e-06,1.9285429745597116e-05,0.0,0.0,2.5556329522698967e-05,0.0,0.0,2.5556329522698967e-05,0.0,0.0,2.5556329522698967e-05,2.4302149567278598e-05
五穀,2.0,1.703755301513265e-05,1.0,2.9748681929274358e-06,1.4062684822205213e-05,2.0,1.2541799554203704e-05,4.495753460928945e-06,0.0,0.0,1.703755301513265e-05,3.0,1.1574506410318166e-05,5.463046604814483e-06,3.0,3.181199502398457e-05,-1.4774442008851921e-05,5.256919178845874e-06
惡語,2.0,1.703755301513265e-05,42.0,0.0001249444641029523,-0.00010790691108781964,30.0,0.00018812699331305555,-0.0001710894402979229,32.0,8.660232246661971e-05,-6.956476945148706e-05,10.0,3.858168803439387e-05,-2.1544135019261223e-05,8.0,8.483198673062553e-05,-6.779443371549288e-05,-8.757993791439674e-05
二門,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,1.0,3.858168803439388e-06,4.660607704126936e-06,1.0,1.060399834132819e-05,-2.085221833761866e-06,5.6263430786128084e-06
五篇,11.0,9.370654158322957e-05,0.0,0.0,9.370654158322957e-05,0.0,0.0,9.370654158322957e-05,0.0,0.0,9.370654158322957e-05,7.0,2.700718162407571e-05,6.669935995915385e-05,5.0,5.301999170664096e-05,4.068654987658861e-05,7.770110691708622e-05
僧伽跋摩,2.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,1.703755301513265e-05
拔苦與樂,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,8.518776507566325e-06
戒門,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,8.518776507566325e-06
無記,22.0,0.00018741308316645917,18.0,5.354762747269384e-05,0.00013386545569376532,2.0,1.2541799554203704e-05,0.00017487128361225545,40.0,0.00010825290308327464,7.916018008318452e-05,0.0,0.0,0.00018741308316645917,12.0,0.00012724798009593828,6.0165103070520886e-05,0.0001270950211252371
二障,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,8.518776507566325e-06
