word,num1804,freq1804,num1428,freq1428,freq_diff
得,2492.0,0.02122879105685528,3477.0,0.010343616706808691,0.01088517435004659
十,1335.0,0.011372566637601044,1438.0,0.004277860461429652,0.007094706176171392
人,2449.0,0.020862483667029932,4759.0,0.014157397730141663,0.00670508593688827
明,898.0,0.00764986130379456,369.0,0.0010977263631902236,0.006552134940604336
受,1739.0,0.014814152346657837,2784.0,0.00828203304910998,0.006532119297547857
法,2597.0,0.022123262590149743,5379.0,0.016001816009756673,0.0061214465803930695
律,771.0,0.006567976687333636,292.0,0.000868661512334811,0.005699315174998824
僧,2773.0,0.023622567255481414,6034.0,0.017950354676124144,0.00567221257935727
無,1873.0,0.015955668398671727,3493.0,0.010391214597895531,0.005564453800776196
相,986.0,0.008399513636460396,1006.0,0.002992717402085,0.005406796234375396
心,1120.0,0.009541029688474284,1498.0,0.004456352553005298,0.005084677135468986
界,711.0,0.006056850096879657,403.0,0.0011988718817497566,0.004857978215129901
論,589.0,0.0050175593629565645,89.0,0.00026476326917054176,0.0047527960937860225
重,714.0,0.006082406426402356,482.0,0.001433886468991024,0.004648519957411333
名,651.0,0.005545723506425677,424.0,0.0012613441138012325,0.004284379392624445
誦,570.0,0.004855702609312805,263.0,0.0007823903347399156,0.0040733122745728895
僧祇,483.0,0.004114569053154535,14.0,4.164815470098409e-05,0.004072920898453551
四分,472.0,0.0040208625115713045,14.0,4.164815470098409e-05,0.003979214356870321
等,929.0,0.007913943375529116,1504.0,0.004474201762162863,0.0034397416133662533
通,432.0,0.0036801114512686525,93.0,0.0002766627419422514,0.003403448709326401
緣,745.0,0.006346488498136912,1019.0,0.003031390688593057,0.003315097809543855
生,768.0,0.0065424203578109364,1156.0,0.0034389476310241157,0.0031034727267868207
依,454.0,0.003867524534435112,403.0,0.0011988718817497566,0.002668652652685355
經,420.0,0.003577886133177856,309.0,0.0009192342716145775,0.0026586518615632788
多,811.0,0.006908727747636289,1468.0,0.0043671065072174746,0.002541621240418814
五分,282.0,0.0024022949751337035,0.0,0.0,0.0024022949751337035
施,484.0,0.0041230878296621,603.0,0.0017938455203352433,0.002329242309326857
入,609.0,0.0051879348931078905,972.0,0.002891571883525467,0.0022963630095824234
善,573.0,0.0048812589388355036,926.0,0.0027547279466508053,0.0021265309921846983
師,374.0,0.0031860224138298052,403.0,0.0011988718817497566,0.0019871505320800485
衣,1580.0,0.013459666881954793,3866.0,0.011500840433857464,0.0019588264480973287
量,262.0,0.002231919444982377,147.0,0.000437305624360333,0.001794613820622044
事,881.0,0.0075050421031659315,1928.0,0.005735545875964095,0.001769496227201836
境,209.0,0.0017804242900813618,6.0,1.7849209157564608e-05,0.0017625750809237971
解,380.0,0.003237135072875203,534.0,0.0015885796150232505,0.0016485554578519526
結,445.0,0.003790855545867015,742.0,0.002207352199152157,0.0015835033467148578
口,258.0,0.002197844338952112,227.0,0.0006752950797945278,0.0015225492591575843
業,215.0,0.0018315369491267602,112.0,0.0003331852376078727,0.0014983517115188874
地,432.0,0.0036801114512686525,751.0,0.002234126012888504,0.0014459854383801485
一切,357.0,0.0030412032132011773,547.0,0.0016272529015313073,0.00141395031166987
寺,201.0,0.0017122740780208313,105.0,0.00031236116025738065,0.0013999129177634506
理,173.0,0.001473748335808974,51.0,0.0001517182778392992,0.0013220300579696747
唯,187.0,0.0015930112069149026,113.0,0.0003361601058008002,0.0012568511011141024
定,230.0,0.0019593185967402547,243.0,0.0007228929708813668,0.001236425625858888
淨人,159.0,0.0013544854647030455,40.0,0.00011899472771709742,0.001235490736985948
體,168.0,0.0014311544532711426,75.0,0.0002231151144695576,0.001208039338801585
聖,177.0,0.0015078234418392394,112.0,0.0003331852376078727,0.0011746382042313666
道,562.0,0.004787552397252274,1218.0,0.0036233894589856154,0.0011641629382666586
果,196.0,0.0016696801954829994,176.0,0.0005235768019552286,0.0011461033935277708
座,347.0,0.0029560154481255143,621.0,0.0018473931478079368,0.0011086223003175775
意,314.0,0.0026748958233758263,531.0,0.001579655010444468,0.0010952408129313584
品,119.0,0.0010137344044003926,3.0,8.924604578782306e-06,0.0010048097998216104
作法,123.0,0.0010478095104306578,23.0,6.842196843733101e-05,0.000979387541993327
約,115.0,0.0009796592983701273,6.0,1.7849209157564608e-05,0.0009618100892125627
識,182.0,0.001550417324377071,201.0,0.0005979485067784143,0.0009524688175986568
多論,111.0,0.0009455841923398619,0.0,0.0,0.0009455841923398619
戒,1719.0,0.014643776816506509,4619.0,0.013740916183131823,0.0009028606333746862
三衣,142.0,0.001209666264074418,107.0,0.00031831089664323555,0.0008913553674311824
寶,208.0,0.0017719055135737953,298.0,0.0008865107214923758,0.0008853947920814195
上座,203.0,0.0017293116310359636,287.0,0.0008537871713701739,0.0008755244596657897
月,220.0,0.0018741308316645915,346.0,0.0010293043947528927,0.0008448264369116988
夏,158.0,0.0013459666881954792,175.0,0.0005206019337623012,0.000825364754433178
死,229.0,0.0019507998202326878,379.0,0.001127475045119498,0.0008233247751131898
二明,95.0,0.0008092837682188008,2.0,5.9497363858548715e-06,0.000803334031832946
訶,129.0,0.0010989221694760556,102.0,0.0003034365556785984,0.0007954856137974572
俗人,93.0,0.0007922462152036683,3.0,8.924604578782306e-06,0.000783321610624886
心念,107.0,0.0009115090863095966,46.0,0.00013684393687466201,0.0007746651494349346
施主,90.0,0.0007666898856809692,13.0,3.867328650805666e-05,0.0007280165991729125
五百問,84.0,0.0007155772266355713,0.0,0.0,0.0007155772266355713
取,520.0,0.004429763783934488,1253.0,0.003727509845738076,0.0007022539381964124
