慧學,21,6.247223205147615e-05
二邊,4,1.1899472771709741e-05
無貪,5,1.4874340964637175e-05
二道,46,0.00013684393687466201
無足,5,1.4874340964637175e-05
多生,2,5.949736385854871e-06
祇夜,1,2.9748681929274353e-06
身業,4,1.1899472771709741e-05
多瞋,6,1.784920915756461e-05
供具,8,2.3798945543419483e-05
身根,2,5.949736385854871e-06
阿摩,12,3.569841831512922e-05
惡趣,5,1.4874340964637175e-05
起行,3,8.924604578782306e-06
天上,11,3.2723550122201785e-05
天人,18,5.3547627472693834e-05
熱惱,3,8.924604578782306e-06
思惟,93,0.00027666274194225145
惡說,53,0.00015766801422515406
五穀,1,2.9748681929274353e-06
惡語,42,0.0001249444641029523
尊記,2,5.949736385854871e-06
無記,18,5.3547627472693834e-05
十法,20,5.94973638585487e-05
八聖,4,1.1899472771709741e-05
無諍,2,5.949736385854871e-06
誓言,1,2.9748681929274353e-06
伽耶,12,3.569841831512922e-05
道者,37,0.0001100701231383151
坏器,1,2.9748681929274353e-06
惡見,168,0.0004997778564118092
六處,3,8.924604578782306e-06
無著,5,1.4874340964637175e-05
小行,3,8.924604578782306e-06
身戒,1,2.9748681929274353e-06
道行,110,0.0003272355012220179
真實,48,0.0001427936732605169
五眾,3,8.924604578782306e-06
行道,12,3.569841831512922e-05
愛道,13,3.867328650805666e-05
慧光,1,2.9748681929274353e-06
十惡,6,1.784920915756461e-05
漸教,2,5.949736385854871e-06
多羅,95,0.00028261247832810636
懈怠,4,1.1899472771709741e-05
世界,5,1.4874340964637175e-05
夜叉,20,5.94973638585487e-05
五生,1,2.9748681929274353e-06
起者,25,7.437170482318588e-05
空無,6,1.784920915756461e-05
道諦,1,2.9748681929274353e-06
悲心,1,2.9748681929274353e-06
大乘,5,1.4874340964637175e-05
象鼻,16,4.7597891086838965e-05
通力,2,5.949736385854871e-06
僧殘,163,0.00048490351544717194
僧次,3,8.924604578782306e-06
通利,5,1.4874340964637175e-05
什物,2,5.949736385854871e-06
優曇,1,2.9748681929274353e-06
結跏,4,1.1899472771709741e-05
至教,1,2.9748681929274353e-06
明相,96,0.0002855873465210338
別請,7,2.0824077350492045e-05
檀那,1,2.9748681929274353e-06
壽命,3,8.924604578782306e-06
十方,2,5.949736385854871e-06
聲聞,25,7.437170482318588e-05
阿梨,45,0.0001338690686817346
娑羅,3,8.924604578782306e-06
尊者,128,0.0003807831286947117
懺悔,413,0.0012286205636790307
誦律,26,7.734657301611332e-05
伽藍,258,0.0007675159937752783
八難,7,2.0824077350492045e-05
大利,3,8.924604578782306e-06
天子,13,3.867328650805666e-05
施物,12,3.569841831512922e-05
檀越,259,0.0007704908619682057
世法,3,8.924604578782306e-06
二花,1,2.9748681929274353e-06
二苦,1,2.9748681929274353e-06
大僧,18,5.3547627472693834e-05
死苦,3,8.924604578782306e-06
體大,1,2.9748681929274353e-06
五法,320,0.0009519578217367792
愛護,5,1.4874340964637175e-05
愛語,1,2.9748681929274353e-06
天女,11,3.2723550122201785e-05
天如,3,8.924604578782306e-06
天帝,12,3.569841831512922e-05
行足,10,2.974868192927435e-05
明法,3,8.924604578782306e-06
僧物,25,7.437170482318588e-05
誓願,2,5.949736385854871e-06
無餘,25,7.437170482318588e-05
惡鬼,4,1.1899472771709741e-05
跋闍,14,4.164815470098409e-05
五欲,19,5.652249566562127e-05
具戒,2,5.949736385854871e-06
已還,49,0.0001457685414534443
五條,3,8.924604578782306e-06
空法,1,2.9748681929274353e-06
我人,2,5.949736385854871e-06
五根,2,5.949736385854871e-06
八道,1,2.9748681929274353e-06
幻師,1,2.9748681929274353e-06
白和,12,3.569841831512922e-05
伽那,15,4.462302289391153e-05
阿羅,143,0.00042540615158862324
淨定,1,2.9748681929274353e-06
二衣,5,1.4874340964637175e-05
彈指,16,4.7597891086838965e-05
六難,3,8.924604578782306e-06
二行,13,3.867328650805666e-05
五時,1,2.9748681929274353e-06
八龍,2,5.949736385854871e-06
二見,45,0.0001338690686817346
惡露,1,2.9748681929274353e-06
小食,71,0.0002112156416978479
無間,2,5.949736385854871e-06
八齋,1,2.9748681929274353e-06
行者,58,0.00017254235518979124
二語,3,8.924604578782306e-06
集智,1,2.9748681929274353e-06
無際,2,5.949736385854871e-06
長夜,13,3.867328650805666e-05
渴仰,1,2.9748681929274353e-06
大姊,133,0.0003956574696593489
空慧,9,2.6773813736346917e-05
大天,1,2.9748681929274353e-06
集會,17,5.0572759279766396e-05
戒行,8,2.3798945543419483e-05
至真,33,9.817065036660537e-05
安樂,140,0.0004164815470098409
大師,7,2.0824077350492045e-05
拔濟,6,1.784920915756461e-05
大德,866,0.0025762358550751588
戒身,2,5.949736385854871e-06
身相,62,0.000184441827961501
五持,2,5.949736385854871e-06
真佛,1,2.9748681929274353e-06
無量,25,7.437170482318588e-05
二身,1,2.9748681929274353e-06
惡道,31,9.22209139807505e-05
五惡,1,2.9748681929274353e-06
身病,2,5.949736385854871e-06
中含,1,2.9748681929274353e-06
楊枝,34,0.00010114551855953279
指印,31,9.22209139807505e-05
十生,6,1.784920915756461e-05
十界,1,2.9748681929274353e-06
說罪,12,3.569841831512922e-05
天樂,1,2.9748681929274353e-06
瞿婆,1,2.9748681929274353e-06
大戒,297,0.0008835358532994482
平等,5,1.4874340964637175e-05
空寂,1,2.9748681929274353e-06
善苗,1,2.9748681929274353e-06
空定,1,2.9748681929274353e-06
生色,1,2.9748681929274353e-06
神光,2,5.949736385854871e-06
剃髮,76,0.00022608998266248508
神力,98,0.0002915370829068886
觀作,2,5.949736385854871e-06
