慧學,1,8.518776507566325e-06
二邊,5,4.259388253783162e-05
空三昧,1,8.518776507566325e-06
行香,7,5.963143555296427e-05
無貪,5,4.259388253783162e-05
宗義,1,8.518776507566325e-06
五百世,1,8.518776507566325e-06
二道,5,4.259388253783162e-05
鹿,9,7.666898856809692e-05
犍,12,0.0001022253180907959
行住坐臥,1,8.518776507566325e-06
遮難,11,9.370654158322957e-05
無足,1,8.518776507566325e-06
觀法,1,8.518776507566325e-06
外塵,2,1.703755301513265e-05
多生,3,2.5556329522698974e-05
祇夜,1,8.518776507566325e-06
身業,3,2.5556329522698974e-05
依止師,1,8.518776507566325e-06
活,21,0.0001788943066588928
三佛陀,1,8.518776507566325e-06
色空外道,1,8.518776507566325e-06
內衣,12,0.0001022253180907959
施惠,1,8.518776507566325e-06
依他,4,3.40751060302653e-05
多瞋,1,8.518776507566325e-06
五緣,61,0.0005196453669615458
供具,5,4.259388253783162e-05
身根,1,8.518776507566325e-06
塵沙,4,3.40751060302653e-05
阿摩,2,1.703755301513265e-05
六趣,3,2.5556329522698974e-05
肉身,1,8.518776507566325e-06
惡趣,2,1.703755301513265e-05
起行,3,2.5556329522698974e-05
十業,1,8.518776507566325e-06
五結,2,1.703755301513265e-05
塵欲,1,8.518776507566325e-06
天上,3,2.5556329522698974e-05
娑羅王,1,8.518776507566325e-06
天人,8,6.81502120605306e-05
慧心,1,8.518776507566325e-06
熱惱,2,1.703755301513265e-05
思惟,17,0.0001448192006286275
惡說,6,5.111265904539795e-05
機,16,0.0001363004241210612
僧戒,5,4.259388253783162e-05
業有,3,2.5556329522698974e-05
五穀,2,1.703755301513265e-05
惡語,2,1.703755301513265e-05
二門,1,8.518776507566325e-06
五篇,11,9.370654158322957e-05
僧伽跋摩,2,1.703755301513265e-05
拔苦與樂,1,8.518776507566325e-06
戒門,1,8.518776507566325e-06
無記,22,0.00018741308316645914
二障,1,8.518776507566325e-06
沙彌戒經,1,8.518776507566325e-06
二離,2,1.703755301513265e-05
六行,4,3.40751060302653e-05
十法,2,1.703755301513265e-05
福行,2,1.703755301513265e-05
八聖,2,1.703755301513265e-05
因,244,0.002078581467846183
阿耨達,1,8.518776507566325e-06
無諍,1,8.518776507566325e-06
校量,1,8.518776507566325e-06
誓言,1,8.518776507566325e-06
般泥洹經,1,8.518776507566325e-06
深法,3,2.5556329522698974e-05
世福,1,8.518776507566325e-06
道者,15,0.00012778164761349486
觀樹,1,8.518776507566325e-06
滿荼邏,1,8.518776507566325e-06
惡觸,19,0.00016185675364376015
伽胝,1,8.518776507566325e-06
六親,4,3.40751060302653e-05
惡見,6,5.111265904539795e-05
外凡,3,2.5556329522698974e-05
五相,2,1.703755301513265e-05
六處,2,1.703755301513265e-05
智慧念佛,1,8.518776507566325e-06
無著,2,1.703755301513265e-05
二食,11,9.370654158322957e-05
道要,2,1.703755301513265e-05
外儀,1,8.518776507566325e-06
我倒,5,4.259388253783162e-05
有一人,4,3.40751060302653e-05
四儀,2,1.703755301513265e-05
道觀,1,8.518776507566325e-06
頂禮,2,1.703755301513265e-05
小行,5,4.259388253783162e-05
身戒,5,4.259388253783162e-05
戒體,20,0.0001703755301513265
道行,40,0.000340751060302653
真實,16,0.0001363004241210612
五眾,55,0.0004685327079161478
十指,2,1.703755301513265e-05
行道,21,0.0001788943066588928
不共相,1,8.518776507566325e-06
愛道,6,5.111265904539795e-05
欲界繫,1,8.518776507566325e-06
結解,1,8.518776507566325e-06
漸斷,1,8.518776507566325e-06
戒香,1,8.518776507566325e-06
一切經,1,8.518776507566325e-06
十惡,4,3.40751060302653e-05
無餘涅槃,1,8.518776507566325e-06
真如,1,8.518776507566325e-06
頭面作禮,2,1.703755301513265e-05
多羅,16,0.0001363004241210612
懈怠,10,8.518776507566325e-05
世界,7,5.963143555296427e-05
五生,5,4.259388253783162e-05
起者,6,5.111265904539795e-05
空無,7,5.963143555296427e-05
通受,1,8.518776507566325e-06
大事,5,4.259388253783162e-05
悲心,5,4.259388253783162e-05
不與取,2,1.703755301513265e-05
大羅漢,1,8.518776507566325e-06
羯磨僧,3,2.5556329522698974e-05
大乘,23,0.00019593185967402545
古德,2,1.703755301513265e-05
象鼻,2,1.703755301513265e-05
弗婆提,1,8.518776507566325e-06
僧殘,106,0.0009029903098020304
淨巾,1,8.518776507566325e-06
難行,1,8.518776507566325e-06
長世,2,1.703755301513265e-05
僧次,40,0.000340751060302653
通利,3,2.5556329522698974e-05
式叉迦羅尼,1,8.518776507566325e-06
至教,1,8.518776507566325e-06
明相,75,0.0006389082380674744
六聚,21,0.0001788943066588928
百一眾具,1,8.518776507566325e-06
別請,37,0.000315194730779954
慧命,5,4.259388253783162e-05
吒,3,2.5556329522698974e-05
壽命,6,5.111265904539795e-05
十方,33,0.0002811196247496887
聲聞,17,0.0001448192006286275
急施衣,3,2.5556329522698974e-05
阿梨,1,8.518776507566325e-06
八解,1,8.518776507566325e-06
娑羅,1,8.518776507566325e-06
誑,15,0.00012778164761349486
行陰,1,8.518776507566325e-06
尊者,5,4.259388253783162e-05
空界,3,2.5556329522698974e-05
增戒學,1,8.518776507566325e-06
懺悔,80,0.000681502120605306
十教,1,8.518776507566325e-06
誦律,11,9.370654158322957e-05
行解,3,2.5556329522698974e-05
僧相,5,4.259388253783162e-05
伽藍,40,0.000340751060302653
八難,6,5.111265904539795e-05
五滓,1,8.518776507566325e-06
大利,3,2.5556329522698974e-05
單,69,0.0005877955790220764
五百年,1,8.518776507566325e-06
二聖,2,1.703755301513265e-05
小遠,1,8.518776507566325e-06
